"RunId","CreatedAt","TotalRows","PositiveCount","NegativeCount"
"30dd59e1-cd89-4db8-9367-673a068cf48e","19.10.2025 13:19:20","149930","57205","92725"
"a615eaba-6ab2-4492-85e6-3f92ac80bddf","19.10.2025 16:53:35","126090","49181","76909"
"74ab117d-f326-483e-ab55-2e03ed98e1a5","19.10.2025 17:07:31","146800","43866","102934"
