"Symbol","TotalAppearances","AvgWinrate","AvgPNL","TotalPNL","MaxPNL","MinPNL","PositiveResults","NegativeResults","SuccessRate"
"1000BONKUSDT","3","0,5862101677133583","0,030436316428499657","0,09130894928549897","0,04337851314134143","0,00455192300281611","3","0","100"
"1000CATUSDT","1","0,5610833233378669","-0,014673949398453236","-0,014673949398453236","-0,014673949398453236","-0,014673949398453236","0","1","0"
"1000WHYUSDT","1","0,48873558182459403","-0,04336201765662323","-0,04336201765662323","-0,04336201765662323","-0,04336201765662323","0","1","0"
"1000000BOBUSDT","2","0,48097301588306474","-0,022658705407267894","-0,04531741081453579","0,0017272253924881787","-0,04704463620702397","1","1","50"
"1000CHEEMSUSDT","1","0,5365373566143735","-0,0751234626854768","-0,0751234626854768","-0,0751234626854768","-0,0751234626854768","0","1","0"
"1000000MOGUSDT","2","0,5360905543316333","-0,044391638426567466","-0,08878327685313493","0,003890091181115825","-0,09267336803425076","1","1","50"
"0GUSDT","2","0,47738687343311914","-0,11632159141657666","-0,23264318283315333","0,0022917626259683953","-0,23493494545912172","1","1","50"
